Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
,Complete,Valet Parking,,,Teatro Zinzanni,S14FE111,02/22/2014 12:00:00 AM,02/22/2014 12:00:00 AM,,Queen Anne,,,Red Carpet Valet,200
,Complete,Valet Parking,,,Aston Manor (2/27),S14FE106,02/27/2014 12:00:00 AM,02/27/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Hillel of UW,S14FE112,02/27/2014 12:00:00 AM,02/27/2014 12:00:00 AM,,University District,,,Red Carpet Valet,225
,Cancelled,Valet Parking,,,Aston Manor (2/28),S14FE107,02/28/2014 12:00:00 AM,02/28/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Special Event,Commercial,,Seattle Symphony: Link Up Concerts,S14FE028,02/25/2014 12:00:00 AM,02/28/2014 12:00:00 AM,,Downtown,,,Benaroya Hall,7800
,Cancelled,Valet Parking,,,Aston Manor (3/1),S14MR108,03/01/2014 12:00:00 AM,03/01/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Pacific Medical Centers,S14MR118,03/01/2014 12:00:00 AM,03/01/2014 12:00:00 AM,,Cascade / Eastlake / South Lake Union,,,Four Park Avenue,180
,Complete,Special Event,Athletic,Run/Walk,Hot Chocolate 15K/5K,S14MR046,03/02/2014 12:00:00 AM,03/02/2014 12:00:00 AM,Seattle Center,Queen Anne,,,RAM Racing,7100
,Complete,Special Event,Community,,Rev Dr. Samuel McKinney Street Unveiling Ceremony,S14MR121,03/02/2014 12:00:00 AM,03/02/2014 12:00:00 AM,,Central District,,,Seattle City Council,359
,Complete,Valet Parking,,,Fremont Studios,S14MR113,03/05/2014 12:00:00 AM,03/05/2014 12:00:00 AM,,Fremont,,,Red Carpet Valet,200
,Cancelled,Valet Parking,,,Aston Manor (3/7),S14MR109,03/07/2014 12:00:00 AM,03/07/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Cancelled,Valet Parking,,,Aston Manor (3/8),S14MR110,03/08/2014 12:00:00 AM,03/08/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Special Event,Free Speech,,International Women's Day March and Rally,S14MR115,03/08/2014 12:00:00 AM,03/08/2014 12:00:00 AM,Hing Hay Park,International District,,,Pinay sa Seattle,550
,Cancelled,Special Event,Community,,Seattle and King County Community Health and Safety Fair,S14MR147,03/08/2014 12:00:00 AM,03/08/2014 12:00:00 AM,,International District,,,Seattle Parks and Recreation,300
,Complete,Special Event,Community,,Sounders FC March to the Match (3.8),S14MR144,03/08/2014 12:00:00 AM,03/08/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Seattle Sounders FC,315
,Cancelled,Special Event,Free Speech,,Vital Voices Mentoring Walk,S14MR116,03/08/2014 12:00:00 AM,03/08/2014 12:00:00 AM,,Belltown,,,Vial Voices Northwest,140
,Complete,Special Event,Free Speech,,55th Tibetan National Uprising Day,S14MR130,03/10/2014 12:00:00 AM,03/10/2014 12:00:00 AM,,Downtown,,,Tibetan Youth Congress,150
,Complete,Special Event,Commercial,,"National Geographic Live! Student Matinee (3/10, 3/11)",S14MR024,03/10/2014 12:00:00 AM,03/11/2014 12:00:00 AM,,Downtown,,,Benaroya Hall,2540
,Complete,Valet Parking,,,Graham and Dunn,S14MR150,03/13/2014 12:00:00 AM,03/13/2014 12:00:00 AM,,Downtown,,,Butler Valet,200
,Complete,Special Event,Community,,Green Stripe,S14MR048,03/14/2014 12:00:00 AM,03/14/2014 12:00:00 AM,,Downtown,,,Irish Heritage Club,140
,Cancelled,Special Event,Community,,Magnolia Springfest,S14MR091,03/14/2014 12:00:00 AM,03/14/2014 12:00:00 AM,,Magnolia,,,Magnolia Chamber of Commerce,270
,Complete,Valet Parking,,,Pacific NW Ballet - Director's Choice,S14MR151,03/14/2014 12:00:00 AM,03/14/2014 12:00:00 AM,,Queen Anne,,,Four Park Avenue,120
,Complete,Special Event,Commercial,,Seattle Symphony Friday Matinees Concert,S14MR129,03/14/2014 12:00:00 AM,03/14/2014 12:00:00 AM,,Downtown,,,Seattle Symphony,425
